word	coef	occ_gemini	occ_human
tilted_platform	-0.08901609762627664	10	0
locks	-0.08812927891592957	45	52
calibration_sum	-0.0873855843135445	3	0
64	-0.08668490003580334	18	15
input_histories	-0.0865540499859489	4	0
total_middle_page_numbers	-0.08640558193730984	6	0
current_lengths	-0.08629323732413381	8	0
new_lengths	-0.08629323732413381	8	0
spring_str	-0.08629323732413381	8	0
cubes	-0.08611259566498596	16	12
sorted_counts	-0.08578017499601896	7	0
next_box_col	-0.08568349847763862	6	0
next_box_row	-0.08568349847763862	6	0
cheat_grid	-0.08559978186533394	4	0
box_col	-0.08534601652007641	30	0
new_c	-0.08515821656503303	63	4
workflow_name	-0.08510799576609275	6	0
compare_hands	-0.08481257579477072	8	0
total_middle_page	-0.08450239073475149	12	0
start_pos	-0.0843852923047985	17	10
program_str	-0.08390159727906099	10	0
reachable_plots	-0.0838590245627159	8	0
vel2	-0.08381271872702639	9	0
2333133121414131402	-0.08360402902536633	4	1
file_map	-0.08319492385682192	3	0
count_100plus	-0.08307853179012069	6	0
total_calibration_result	-0.08297604723986261	12	0
arr	-0.0828251153794271	71	41
galaxy_map	-0.08205735481637896	6	0
r_offset	-0.08171566139529463	3	0
blank	-0.08136409374281424	3	4
possible_games	-0.08092948003535756	12	0
subset_cubes	-0.08092948003535756	3	0
initial_secret	-0.08061014658637189	13	0
calculate_product	-0.0804056436748417	8	0
neighbor	-0.08009951289443513	188	34
current_type	-0.0800467661815947	4	0
lowest_location	-0.0800467661815947	3	0
all_components	-0.07975266931131231	8	0
all_high	-0.0797335186505649	8	0
rule_str	-0.07970244801882796	9	0
box_to_push_col	-0.07965094715166632	6	0
box_to_push_row	-0.07965094715166632	6	0
current_index	-0.07951103078692404	2	0
pos2	-0.07918119653883376	9	0
pos_x	-0.07900865505513846	12	7
pos_y	-0.0788401971184721	12	9
sequence	-0.07878760796116521	25	38
module_types	-0.07831559237054424	6	0
score	-0.07828525090177293	51	42
isinstance	-0.07822802964787628	2	2
numeric	-0.07817520495349098	12	5
dir	-0.07773599911635799	305	296
current_springs	-0.07758889486818693	4	0
best_heat_loss	-0.07746370019763858	3	0
going	-0.07746370019763858	0	2
neighbor_pos	-0.0773450451944552	11	0
cond_parts	-0.07713662772412279	5	0
possible_equations	-0.07681836720452724	3	0
current_path	-0.07618744818715192	6	0
isdigit	-0.075934480084359	21	18
calculate_heat_loss	-0.0757390458846055	7	0
turn_dir	-0.07561480443968976	2	0
map_type	-0.07550177214401317	11	0
83	-0.07503787863753182	4	1
turns	-0.07491765064689009	21	2
other_z	-0.07478620091235193	5	0
heat	-0.07451414332420013	109	51
start_galaxy	-0.07441778314734505	6	0
hand_strength	-0.07415349245437523	10	0
bids	-0.07400903829613252	12	0
pushed_box	-0.07393470702971708	6	0
check_fit	-0.07391479929389345	4	0
type	-0.0737826456700536	91	18
30	-0.07365122295154496	4	3
total_possible_game_ids	-0.07355937378809553	3	0
pos1_x	-0.07355693926485674	3	0
pos1_y	-0.07355693926485674	3	0
vel1_x	-0.07355693926485674	3	0
vel1_y	-0.07355693926485674	3	0
row_data	-0.07335534941056214	3	0
generate_secret_number	-0.07323469967318955	4	0
numbers	-0.07312973108630097	67	39
code	-0.07309625132532588	88	62
possible_moves	-0.0729927570557426	6	0
hands_with_bids	-0.07282620689437287	6	0
can_disintegrate	-0.07208620962681005	3	0
other_brick_id	-0.07208620962681005	3	0
valid_z	-0.07208620962681005	3	0
vy2	-0.07166962364384845	4	0
px1	-0.07156521684528844	4	0
py1	-0.07156521684528844	4	0
cheat_path_length	-0.07129794303897297	3	0
saved_time	-0.07129794303897297	4	0
conjunction	-0.07123703834005979	18	11
total	-0.0707468382857365	349	50
tilt_platform	-0.06983752489824722	8	0
dijkstra	-0.06920854354804457	4	5
filenotfounderror	-0.06913439820114758	0	0
current_file_id	-0.06853933853473991	3	0
found_gap	-0.06853933853473991	3	0
2048	-0.06831311983875189	5	4
card1_rank	-0.06791386807617877	3	0
card2_rank	-0.06791386807617877	3	0
get_hand_strength	-0.06791386807617877	3	0
ranks	-0.06791386807617877	3	0
min_steps	-0.06773199997111749	2	0
search	-0.06756496195143254	26	15
rank	-0.0668563039807602	13	12
distance_line	-0.06677244246378815	2	0
distance_list	-0.06677244246378815	2	0
time_line	-0.06677244246378815	2	0
reg_c	-0.06671225640148917	3	0
evolve_stones	-0.06659241235165163	2	0
other_id	-0.06582524571482884	4	0
next_diffs	-0.06578323428387822	3	0
sum_extrapolated	-0.06578323428387822	5	0
current_height	-0.06565779837521057	4	0
is_valid_trail	-0.06565779837521057	4	0
target_col	-0.06565779837521057	4	0
target_row	-0.06565779837521057	4	0
destination_modules	-0.06526299364212021	5	0
current_combination	-0.06520777273581309	2	0
new_design	-0.06520777273581309	2	0
card_num	-0.06506696448071259	5	2
cols_len	-0.06493065787051364	4	0
start_node	-0.06486808241004971	8	0
the	-0.06480698341320779	155	267
input_parts	-0.06454782883339327	4	0
operators	-0.0644863468505136	3	4
safety	-0.06442917556900926	21	5
expand_universe	-0.0643507082111014	10	0
galaxy_count	-0.06432424470977002	9	0
__import__	-0.0642035925736291	2	0
accepted_parts_sum	-0.06412011695768076	3	0
parts_start	-0.06412011695768076	3	0
page_x	-0.06411928223651608	3	0
best_score	-0.06401319741480258	3	7
handle	-0.06395124652015609	3	3
calculate	-0.06372673764870815	69	14
new_score	-0.06352918726780689	15	8
amxsxmaamm	-0.06261585542680055	0	0
mammmxmmmm	-0.06261585542680055	0	0
mmmsxxmasm	-0.06261585542680055	0	0
msamasmsmx	-0.06261585542680055	0	0
msamxmsmsa	-0.06261585542680055	0	0
mxmxaxmasx	-0.06261585542680055	0	0
saxamasaaa	-0.06261585542680055	0	0
smsmsasxss	-0.06261585542680055	0	0
xmasamxamm	-0.06261585542680055	0	0
xxammxxama	-0.06261585542680055	0	0
func	-0.06232402434891156	2	40
z_wires	-0.06232402434891156	2	0
find_min_heat_loss	-0.062283968432738826	6	0
total_cost	-0.06158083937923248	11	0
symbol_pattern	-0.06128674604647099	3	0
setdefault	-0.061268170985583986	6	1
output	-0.061191127322340125	50	65
69	-0.06114387545082143	5	1
84	-0.06114387545082143	7	4
86	-0.06114387545082143	7	5
82	-0.061075719103691334	3	0
finding	-0.060762308243508284	2	0
should	-0.0606654602662903	0	2
possible_arrangements	-0.060188534150004844	4	0
input_disk	-0.060020988082561254	2	0
box_coords	-0.05997844893434701	7	0
hand_type	-0.05967514882384077	7	2
time	-0.0595546561909958	66	141
heuristic	-0.059453072185551646	8	0
safe_to_disintegrate	-0.05941681470682529	9	0
101	-0.059164717055936344	16	20
is_possible	-0.0587687097827846	8	6
springs	-0.0585765948295455	30	16
strings	-0.058371476591128124	6	7
connected_groups	-0.05828513805296918	6	0
removed_connections	-0.05828513805296918	5	0
find_best_path	-0.05809777514822894	3	0
67	-0.057932038612123156	23	23
